--- OHLCV Data for BTC/USDT - Timeframe: 1d ---
Columns: Timestamp | Open | High | Low | Close | Volume
-------------------------------------------------------
Timestamp: 2025-05-15T00:00:00 | Open: 103507.83 | High: 103866.51 | Low: 101500.0 | Close: 102666.67 | Volume: 7966.55484
Timestamp: 2025-05-14T00:00:00 | Open: 104103.72 | High: 104356.95 | Low: 102602.05 | Close: 103507.82 | Volume: 16452.9081
Timestamp: 2025-05-13T00:00:00 | Open: 102791.32 | High: 104976.25 | Low: 101429.7 | Close: 104103.72 | Volume: 21253.42409
Timestamp: 2025-05-12T00:00:00 | Open: 104118.0 | High: 105819.45 | Low: 100718.37 | Close: 102791.32 | Volume: 31272.77792
Timestamp: 2025-05-11T00:00:00 | Open: 104809.53 | High: 104972.0 | Low: 103345.06 | Close: 104118.0 | Volume: 17987.12197
Timestamp: 2025-05-10T00:00:00 | Open: 102971.99 | High: 104984.57 | Low: 102818.76 | Close: 104809.53 | Volume: 15324.78611
Timestamp: 2025-05-09T00:00:00 | Open: 103261.61 | High: 104361.3 | Low: 102315.14 | Close: 102971.99 | Volume: 27617.39907
Timestamp: 2025-05-08T00:00:00 | Open: 97030.5 | High: 104145.76 | Low: 96876.29 | Close: 103261.6 | Volume: 34962.02847
Timestamp: 2025-05-07T00:00:00 | Open: 96834.02 | High: 97732.0 | Low: 95784.61 | Close: 97030.5 | Volume: 16644.83854
Timestamp: 2025-05-06T00:00:00 | Open: 94733.68 | High: 96920.65 | Low: 93377.0 | Close: 96834.02 | Volume: 16122.64513
Timestamp: 2025-05-05T00:00:00 | Open: 94277.61 | High: 95199.0 | Low: 93514.1 | Close: 94733.68 | Volume: 17251.18189
Timestamp: 2025-05-04T00:00:00 | Open: 95856.42 | High: 96304.48 | Low: 94151.38 | Close: 94277.62 | Volume: 11036.38342
Timestamp: 2025-05-03T00:00:00 | Open: 96887.13 | High: 96935.67 | Low: 95753.01 | Close: 95856.42 | Volume: 9723.34838
Timestamp: 2025-05-02T00:00:00 | Open: 96489.9 | High: 97895.68 | Low: 96350.0 | Close: 96887.14 | Volume: 14905.74811
Timestamp: 2025-05-01T00:00:00 | Open: 94172.0 | High: 97424.02 | Low: 94130.43 | Close: 96489.91 | Volume: 21380.45343
Timestamp: 2025-04-30T00:00:00 | Open: 94256.82 | High: 95228.45 | Low: 92910.0 | Close: 94172.0 | Volume: 17661.2751
Timestamp: 2025-04-29T00:00:00 | Open: 95011.18 | High: 95461.53 | Low: 93742.54 | Close: 94256.82 | Volume: 16955.3402
Timestamp: 2025-04-28T00:00:00 | Open: 93749.29 | High: 95630.0 | Low: 92800.01 | Close: 95011.18 | Volume: 22157.53351
Timestamp: 2025-04-27T00:00:00 | Open: 94628.0 | High: 95369.0 | Low: 93602.58 | Close: 93749.3 | Volume: 11162.841
Timestamp: 2025-04-26T00:00:00 | Open: 94638.68 | High: 95199.0 | Low: 93870.69 | Close: 94628.0 | Volume: 9415.06875
Timestamp: 2025-04-25T00:00:00 | Open: 93980.47 | High: 95758.04 | Low: 92855.96 | Close: 94638.68 | Volume: 27500.66648
Timestamp: 2025-04-24T00:00:00 | Open: 93691.07 | High: 94005.0 | Low: 91660.01 | Close: 93980.47 | Volume: 19497.06071
Timestamp: 2025-04-23T00:00:00 | Open: 93442.99 | High: 94696.05 | Low: 91935.41 | Close: 93691.08 | Volume: 27404.16808
Timestamp: 2025-04-22T00:00:00 | Open: 87516.22 | High: 93888.0 | Low: 87076.03 | Close: 93442.99 | Volume: 43872.74705
Timestamp: 2025-04-21T00:00:00 | Open: 85179.24 | High: 88465.99 | Low: 85144.76 | Close: 87516.23 | Volume: 31773.37262
Timestamp: 2025-04-20T00:00:00 | Open: 85077.0 | High: 85320.76 | Low: 83949.52 | Close: 85179.24 | Volume: 8091.67725
Timestamp: 2025-04-19T00:00:00 | Open: 84474.7 | High: 85677.99 | Low: 84364.45 | Close: 85077.01 | Volume: 9666.58153
Timestamp: 2025-04-18T00:00:00 | Open: 84947.92 | High: 85132.08 | Low: 84303.96 | Close: 84474.69 | Volume: 6529.96315
Timestamp: 2025-04-17T00:00:00 | Open: 84030.38 | High: 85470.01 | Low: 83736.26 | Close: 84947.91 | Volume: 13728.84772
Timestamp: 2025-04-16T00:00:00 | Open: 83643.99 | High: 85500.0 | Low: 83111.64 | Close: 84030.38 | Volume: 20867.24519
Timestamp: 2025-04-15T00:00:00 | Open: 84591.58 | High: 86496.42 | Low: 83600.0 | Close: 83643.99 | Volume: 20910.99528
Timestamp: 2025-04-14T00:00:00 | Open: 83760.0 | High: 85799.99 | Low: 83678.0 | Close: 84591.58 | Volume: 28659.09348
Timestamp: 2025-04-13T00:00:00 | Open: 85276.91 | High: 86100.0 | Low: 83034.23 | Close: 83760.0 | Volume: 24680.04181
Timestamp: 2025-04-12T00:00:00 | Open: 83423.83 | High: 85905.0 | Low: 82792.95 | Close: 85276.9 | Volume: 18470.74437
Timestamp: 2025-04-11T00:00:00 | Open: 79607.3 | High: 84300.0 | Low: 78969.58 | Close: 83423.84 | Volume: 34435.43797
Timestamp: 2025-04-10T00:00:00 | Open: 82615.22 | High: 82753.21 | Low: 78464.36 | Close: 79607.3 | Volume: 33284.80718
Timestamp: 2025-04-09T00:00:00 | Open: 76322.42 | High: 83588.0 | Low: 74620.0 | Close: 82615.22 | Volume: 75488.28772
Timestamp: 2025-04-08T00:00:00 | Open: 79163.24 | High: 80867.99 | Low: 76239.9 | Close: 76322.42 | Volume: 35317.32063
Timestamp: 2025-04-07T00:00:00 | Open: 78430.0 | High: 81243.58 | Low: 74508.0 | Close: 79163.24 | Volume: 78387.53089
Timestamp: 2025-04-06T00:00:00 | Open: 83537.99 | High: 83817.63 | Low: 77153.83 | Close: 78430.0 | Volume: 27942.71436
Timestamp: 2025-04-05T00:00:00 | Open: 83889.87 | High: 84266.0 | Low: 82379.95 | Close: 83537.99 | Volume: 9360.40468
Timestamp: 2025-04-04T00:00:00 | Open: 83213.09 | High: 84720.0 | Low: 81659.0 | Close: 83889.87 | Volume: 32915.53976
Timestamp: 2025-04-03T00:00:00 | Open: 82516.28 | High: 83998.02 | Low: 81211.24 | Close: 83213.09 | Volume: 27337.84135
Timestamp: 2025-04-02T00:00:00 | Open: 85158.35 | High: 88500.0 | Low: 82320.0 | Close: 82516.29 | Volume: 39931.457
Timestamp: 2025-04-01T00:00:00 | Open: 82550.0 | High: 85579.46 | Low: 82432.74 | Close: 85158.34 | Volume: 20190.39697
Timestamp: 2025-03-31T00:00:00 | Open: 82390.0 | High: 83943.08 | Low: 81278.52 | Close: 82550.01 | Volume: 20569.13885
Timestamp: 2025-03-30T00:00:00 | Open: 82648.53 | High: 83534.64 | Low: 81565.0 | Close: 82389.99 | Volume: 9864.49508
Timestamp: 2025-03-29T00:00:00 | Open: 84424.38 | High: 84624.73 | Low: 81644.81 | Close: 82648.54 | Volume: 11696.39864
Timestamp: 2025-03-28T00:00:00 | Open: 87232.01 | High: 87515.67 | Low: 83585.0 | Close: 84424.38 | Volume: 27182.73169
Timestamp: 2025-03-27T00:00:00 | Open: 86909.17 | High: 87756.39 | Low: 85800.0 | Close: 87232.01 | Volume: 17098.03897
Timestamp: 2025-03-26T00:00:00 | Open: 87392.88 | High: 88275.0 | Low: 85860.0 | Close: 86909.17 | Volume: 18408.78485
Timestamp: 2025-03-25T00:00:00 | Open: 87498.16 | High: 88539.63 | Low: 86310.0 | Close: 87392.87 | Volume: 22643.25248
Timestamp: 2025-03-24T00:00:00 | Open: 86082.5 | High: 88765.43 | Low: 85519.09 | Close: 87498.16 | Volume: 30115.62111
Timestamp: 2025-03-23T00:00:00 | Open: 83840.59 | High: 86129.64 | Low: 83809.75 | Close: 86082.5 | Volume: 8461.97813
Timestamp: 2025-03-22T00:00:00 | Open: 84088.79 | High: 84539.17 | Low: 83625.1 | Close: 83840.59 | Volume: 5420.22114
Timestamp: 2025-03-21T00:00:00 | Open: 84223.38 | High: 84850.33 | Low: 83175.25 | Close: 84088.79 | Volume: 11956.97443
Timestamp: 2025-03-20T00:00:00 | Open: 86845.93 | High: 87453.67 | Low: 83655.23 | Close: 84223.39 | Volume: 22090.30463
Timestamp: 2025-03-19T00:00:00 | Open: 82715.03 | High: 87000.0 | Low: 82547.16 | Close: 86845.94 | Volume: 28151.05374
Timestamp: 2025-03-18T00:00:00 | Open: 84010.02 | High: 84021.74 | Low: 81134.66 | Close: 82715.03 | Volume: 17610.89883
Timestamp: 2025-03-17T00:00:00 | Open: 82574.52 | High: 84756.83 | Low: 82456.0 | Close: 84010.03 | Volume: 17214.74358
Timestamp: 2025-03-16T00:00:00 | Open: 84338.44 | High: 85117.04 | Low: 81981.12 | Close: 82574.53 | Volume: 17596.12531
Timestamp: 2025-03-15T00:00:00 | Open: 83983.19 | High: 84676.28 | Low: 83618.0 | Close: 84338.44 | Volume: 11324.7332
Timestamp: 2025-03-14T00:00:00 | Open: 81115.78 | High: 85309.71 | Low: 80818.84 | Close: 83983.2 | Volume: 26858.52755
Timestamp: 2025-03-13T00:00:00 | Open: 83680.12 | High: 84336.33 | Low: 79939.9 | Close: 81115.78 | Volume: 27546.27412
Timestamp: 2025-03-12T00:00:00 | Open: 82932.99 | High: 84539.85 | Low: 80607.65 | Close: 83680.12 | Volume: 31933.986
Timestamp: 2025-03-11T00:00:00 | Open: 78595.86 | High: 83617.4 | Low: 76606.0 | Close: 82932.99 | Volume: 48770.06853
Timestamp: 2025-03-10T00:00:00 | Open: 80734.48 | High: 84123.46 | Low: 77459.91 | Close: 78595.86 | Volume: 47633.38405
Timestamp: 2025-03-09T00:00:00 | Open: 86222.46 | High: 86500.0 | Low: 80000.0 | Close: 80734.37 | Volume: 26115.39345
Timestamp: 2025-03-08T00:00:00 | Open: 86801.74 | High: 86897.25 | Low: 85218.47 | Close: 86222.45 | Volume: 12989.23054
Timestamp: 2025-03-07T00:00:00 | Open: 89931.88 | High: 91283.02 | Low: 84667.03 | Close: 86801.75 | Volume: 57980.35713
Timestamp: 2025-03-06T00:00:00 | Open: 90606.0 | High: 92810.64 | Low: 87836.0 | Close: 89931.89 | Volume: 34342.44902
