--- OHLCV Data for BTC/USDT - Timeframe: 4h ---
Columns: Timestamp | Open | High | Low | Close | Volume
-------------------------------------------------------
Timestamp: 2025-05-15T12:00:00 | Open: 102371.62 | High: 102838.82 | Low: 102271.58 | Close: 102666.67 | Volume: 1202.69208
Timestamp: 2025-05-15T08:00:00 | Open: 101779.99 | High: 102441.0 | Low: 101500.0 | Close: 102371.61 | Volume: 2612.10704
Timestamp: 2025-05-15T04:00:00 | Open: 102753.62 | High: 102962.38 | Low: 101724.17 | Close: 101779.99 | Volume: 2353.66229
Timestamp: 2025-05-15T00:00:00 | Open: 103507.83 | High: 103866.51 | Low: 102720.0 | Close: 102753.63 | Volume: 1797.79721
Timestamp: 2025-05-14T20:00:00 | Open: 103321.73 | High: 103667.52 | Low: 103304.66 | Close: 103507.82 | Volume: 745.15143
Timestamp: 2025-05-14T16:00:00 | Open: 103514.24 | High: 103720.44 | Low: 102602.05 | Close: 103321.72 | Volume: 1856.97684
Timestamp: 2025-05-14T12:00:00 | Open: 103944.93 | High: 104356.95 | Low: 102833.55 | Close: 103514.24 | Volume: 5202.04446
Timestamp: 2025-05-14T08:00:00 | Open: 103716.55 | High: 104145.0 | Low: 102875.22 | Close: 103944.93 | Volume: 3535.76301
Timestamp: 2025-05-14T04:00:00 | Open: 103587.44 | High: 103971.0 | Low: 103381.02 | Close: 103716.55 | Volume: 2102.25399
Timestamp: 2025-05-14T00:00:00 | Open: 104103.72 | High: 104115.86 | Low: 103453.26 | Close: 103587.44 | Volume: 3010.71837
Timestamp: 2025-05-13T20:00:00 | Open: 104792.21 | High: 104928.0 | Low: 103869.01 | Close: 104103.72 | Volume: 2051.88968
Timestamp: 2025-05-13T16:00:00 | Open: 103682.54 | High: 104976.25 | Low: 103532.18 | Close: 104792.22 | Volume: 5053.45199
Timestamp: 2025-05-13T12:00:00 | Open: 103729.2 | High: 103966.0 | Low: 102811.32 | Close: 103682.55 | Volume: 4451.38278
Timestamp: 2025-05-13T08:00:00 | Open: 102665.5 | High: 103822.03 | Low: 102540.18 | Close: 103729.2 | Volume: 2797.46591
Timestamp: 2025-05-13T04:00:00 | Open: 101719.4 | High: 102943.28 | Low: 101610.56 | Close: 102665.5 | Volume: 3546.89229
Timestamp: 2025-05-13T00:00:00 | Open: 102791.32 | High: 102791.32 | Low: 101429.7 | Close: 101719.4 | Volume: 3352.34144
Timestamp: 2025-05-12T20:00:00 | Open: 101859.99 | High: 103127.92 | Low: 101770.2 | Close: 102791.32 | Volume: 2137.37289
Timestamp: 2025-05-12T16:00:00 | Open: 102527.27 | High: 103088.88 | Low: 100718.37 | Close: 101860.0 | Volume: 6054.64243
Timestamp: 2025-05-12T12:00:00 | Open: 103762.89 | High: 104629.96 | Low: 102388.0 | Close: 102527.26 | Volume: 7882.24448
Timestamp: 2025-05-12T08:00:00 | Open: 104467.99 | High: 104736.45 | Low: 103625.0 | Close: 103762.9 | Volume: 4195.60245
Timestamp: 2025-05-12T04:00:00 | Open: 104100.13 | High: 105819.45 | Low: 103750.0 | Close: 104467.99 | Volume: 6956.58682
Timestamp: 2025-05-12T00:00:00 | Open: 104118.0 | High: 105086.42 | Low: 103702.15 | Close: 104100.13 | Volume: 4046.32885
Timestamp: 2025-05-11T20:00:00 | Open: 104420.0 | High: 104578.62 | Low: 103569.77 | Close: 104118.0 | Volume: 1893.44005
Timestamp: 2025-05-11T16:00:00 | Open: 104150.0 | High: 104832.82 | Low: 103750.0 | Close: 104420.0 | Volume: 2312.17239
Timestamp: 2025-05-11T12:00:00 | Open: 104652.01 | High: 104888.0 | Low: 103775.91 | Close: 104150.0 | Volume: 4500.51294
Timestamp: 2025-05-11T08:00:00 | Open: 103385.46 | High: 104777.0 | Low: 103380.95 | Close: 104652.01 | Volume: 2472.65506
Timestamp: 2025-05-11T04:00:00 | Open: 104007.03 | High: 104400.0 | Low: 103345.06 | Close: 103385.47 | Volume: 2952.77072
Timestamp: 2025-05-11T00:00:00 | Open: 104809.53 | High: 104972.0 | Low: 103466.05 | Close: 104007.03 | Volume: 3855.57081
Timestamp: 2025-05-10T20:00:00 | Open: 103191.35 | High: 104984.57 | Low: 103068.87 | Close: 104809.53 | Volume: 3922.94357
Timestamp: 2025-05-10T16:00:00 | Open: 103138.76 | High: 103619.68 | Low: 103005.33 | Close: 103191.35 | Volume: 2330.41287
Timestamp: 2025-05-10T12:00:00 | Open: 103434.94 | High: 103825.4 | Low: 103100.0 | Close: 103138.77 | Volume: 1933.54411
Timestamp: 2025-05-10T08:00:00 | Open: 103759.71 | High: 104079.37 | Low: 103366.0 | Close: 103434.94 | Volume: 2876.2662
Timestamp: 2025-05-10T04:00:00 | Open: 103226.25 | High: 104100.0 | Low: 103034.5 | Close: 103759.71 | Volume: 2472.72488
Timestamp: 2025-05-10T00:00:00 | Open: 102971.99 | High: 103265.82 | Low: 102818.76 | Close: 103226.24 | Volume: 1788.89448
Timestamp: 2025-05-09T20:00:00 | Open: 103189.17 | High: 103408.0 | Low: 102727.25 | Close: 102971.99 | Volume: 1317.83583
Timestamp: 2025-05-09T16:00:00 | Open: 102895.99 | High: 103370.54 | Low: 102315.14 | Close: 103189.17 | Volume: 2349.89886
Timestamp: 2025-05-09T12:00:00 | Open: 102958.31 | High: 103793.66 | Low: 102411.99 | Close: 102895.99 | Volume: 5841.22214
Timestamp: 2025-05-09T08:00:00 | Open: 103628.76 | High: 103930.0 | Low: 102421.0 | Close: 102958.31 | Volume: 8403.08937
Timestamp: 2025-05-09T04:00:00 | Open: 102451.04 | High: 104361.3 | Low: 102374.03 | Close: 103628.77 | Volume: 5971.49947
