--- OHLCV Data for BTC/USDT - Timeframe: 5m ---
Columns: Timestamp | Open | High | Low | Close | Volume
-------------------------------------------------------
Timestamp: 2025-05-15T13:30:00 | Open: 102582.22 | High: 102633.86 | Low: 102509.18 | Close: 102633.85 | Volume: 28.50377
Timestamp: 2025-05-15T13:25:00 | Open: 102600.0 | High: 102622.51 | Low: 102582.21 | Close: 102582.23 | Volume: 28.17765
Timestamp: 2025-05-15T13:20:00 | Open: 102659.47 | High: 102661.4 | Low: 102600.0 | Close: 102600.0 | Volume: 23.64653
Timestamp: 2025-05-15T13:15:00 | Open: 102766.1 | High: 102769.38 | Low: 102654.3 | Close: 102659.47 | Volume: 26.92921
Timestamp: 2025-05-15T13:10:00 | Open: 102666.67 | High: 102787.82 | Low: 102634.94 | Close: 102766.11 | Volume: 25.03374
Timestamp: 2025-05-15T13:05:00 | Open: 102656.0 | High: 102714.29 | Low: 102596.03 | Close: 102666.67 | Volume: 30.76509
Timestamp: 2025-05-15T13:00:00 | Open: 102560.01 | High: 102703.25 | Low: 102501.68 | Close: 102656.01 | Volume: 54.1536
Timestamp: 2025-05-15T12:55:00 | Open: 102610.07 | High: 102610.08 | Low: 102467.46 | Close: 102560.0 | Volume: 149.00077
Timestamp: 2025-05-15T12:50:00 | Open: 102589.01 | High: 102623.82 | Low: 102487.75 | Close: 102610.07 | Volume: 70.71467
Timestamp: 2025-05-15T12:45:00 | Open: 102791.72 | High: 102791.73 | Low: 102571.41 | Close: 102589.02 | Volume: 57.55224
Timestamp: 2025-05-15T12:40:00 | Open: 102719.97 | High: 102810.58 | Low: 102627.94 | Close: 102791.72 | Volume: 72.7307
Timestamp: 2025-05-15T12:35:00 | Open: 102797.47 | High: 102838.82 | Low: 102669.38 | Close: 102719.96 | Volume: 95.28283
Timestamp: 2025-05-15T12:30:00 | Open: 102536.51 | High: 102808.04 | Low: 102428.0 | Close: 102797.47 | Volume: 267.477
Timestamp: 2025-05-15T12:25:00 | Open: 102498.38 | High: 102610.0 | Low: 102498.38 | Close: 102536.52 | Volume: 47.0479
Timestamp: 2025-05-15T12:20:00 | Open: 102413.17 | High: 102536.91 | Low: 102341.95 | Close: 102498.38 | Volume: 66.71887
Timestamp: 2025-05-15T12:15:00 | Open: 102300.93 | High: 102430.98 | Low: 102283.22 | Close: 102413.17 | Volume: 48.40227
Timestamp: 2025-05-15T12:10:00 | Open: 102293.44 | High: 102387.36 | Low: 102281.55 | Close: 102300.92 | Volume: 32.15396
Timestamp: 2025-05-15T12:05:00 | Open: 102333.47 | High: 102429.58 | Low: 102271.58 | Close: 102293.44 | Volume: 28.22081
Timestamp: 2025-05-15T12:00:00 | Open: 102371.62 | High: 102450.0 | Low: 102301.35 | Close: 102333.48 | Volume: 46.58435
Timestamp: 2025-05-15T11:55:00 | Open: 102314.81 | High: 102419.43 | Low: 102295.62 | Close: 102371.61 | Volume: 42.02409
Timestamp: 2025-05-15T11:50:00 | Open: 102329.33 | High: 102338.98 | Low: 102262.28 | Close: 102314.81 | Volume: 31.2174
Timestamp: 2025-05-15T11:45:00 | Open: 102265.36 | High: 102329.44 | Low: 102202.97 | Close: 102329.32 | Volume: 46.6593
Timestamp: 2025-05-15T11:40:00 | Open: 102226.56 | High: 102297.54 | Low: 102211.62 | Close: 102265.36 | Volume: 26.81081
Timestamp: 2025-05-15T11:35:00 | Open: 102273.92 | High: 102273.92 | Low: 102195.09 | Close: 102226.56 | Volume: 30.45435
Timestamp: 2025-05-15T11:30:00 | Open: 102281.3 | High: 102441.0 | Low: 102252.1 | Close: 102273.92 | Volume: 113.06457
Timestamp: 2025-05-15T11:25:00 | Open: 102306.09 | High: 102336.0 | Low: 102267.68 | Close: 102281.31 | Volume: 27.57055
Timestamp: 2025-05-15T11:20:00 | Open: 102276.38 | High: 102317.47 | Low: 102236.48 | Close: 102306.09 | Volume: 58.4277
Timestamp: 2025-05-15T11:15:00 | Open: 102076.11 | High: 102280.22 | Low: 102053.79 | Close: 102276.38 | Volume: 122.80758
Timestamp: 2025-05-15T11:10:00 | Open: 102122.47 | High: 102150.96 | Low: 102025.01 | Close: 102076.12 | Volume: 36.5549
Timestamp: 2025-05-15T11:05:00 | Open: 101976.57 | High: 102152.31 | Low: 101957.71 | Close: 102122.46 | Volume: 73.0029
Timestamp: 2025-05-15T11:00:00 | Open: 101804.75 | High: 101976.57 | Low: 101790.2 | Close: 101976.56 | Volume: 54.1514
Timestamp: 2025-05-15T10:55:00 | Open: 101756.27 | High: 101840.96 | Low: 101623.87 | Close: 101804.74 | Volume: 55.37454
Timestamp: 2025-05-15T10:50:00 | Open: 101733.81 | High: 101811.7 | Low: 101700.95 | Close: 101756.26 | Volume: 46.61162
Timestamp: 2025-05-15T10:45:00 | Open: 101673.42 | High: 101733.82 | Low: 101600.0 | Close: 101733.81 | Volume: 41.52228
Timestamp: 2025-05-15T10:40:00 | Open: 101710.46 | High: 101721.43 | Low: 101626.08 | Close: 101673.43 | Volume: 35.79337
Timestamp: 2025-05-15T10:35:00 | Open: 101661.06 | High: 101749.74 | Low: 101661.06 | Close: 101710.45 | Volume: 30.74763
Timestamp: 2025-05-15T10:30:00 | Open: 101906.34 | High: 101906.35 | Low: 101661.06 | Close: 101661.06 | Volume: 39.17453
