--- OHLCV Data for ETH/USDT - Timeframe: 1d ---
Columns: Timestamp | Open | High | Low | Close | Volume
-------------------------------------------------------
Timestamp: 2025-05-15T00:00:00 | Open: 2609.75 | High: 2647.03 | Low: 2515.69 | Close: 2563.85 | Volume: 389238.4872
Timestamp: 2025-05-14T00:00:00 | Open: 2679.71 | High: 2725.99 | Low: 2547.26 | Close: 2609.74 | Volume: 830047.1122
Timestamp: 2025-05-13T00:00:00 | Open: 2495.48 | High: 2738.5 | Low: 2415.3 | Close: 2679.71 | Volume: 1031355.6465
Timestamp: 2025-05-12T00:00:00 | Open: 2514.58 | High: 2624.0 | Low: 2406.63 | Close: 2495.47 | Volume: 1068680.9433
Timestamp: 2025-05-11T00:00:00 | Open: 2583.22 | High: 2608.13 | Low: 2435.51 | Close: 2514.57 | Volume: 831584.3888
Timestamp: 2025-05-10T00:00:00 | Open: 2345.04 | High: 2600.0 | Low: 2317.0 | Close: 2583.23 | Volume: 979350.1606
Timestamp: 2025-05-09T00:00:00 | Open: 2207.39 | High: 2490.77 | Low: 2184.33 | Close: 2345.04 | Volume: 1667041.0382
Timestamp: 2025-05-08T00:00:00 | Open: 1811.11 | High: 2226.0 | Low: 1808.71 | Close: 2207.39 | Volume: 1473152.686
Timestamp: 2025-05-07T00:00:00 | Open: 1817.0 | High: 1850.0 | Low: 1787.01 | Close: 1811.11 | Volume: 456170.0705
Timestamp: 2025-05-06T00:00:00 | Open: 1820.19 | High: 1820.9 | Low: 1752.0 | Close: 1817.0 | Volume: 384584.2451
Timestamp: 2025-05-05T00:00:00 | Open: 1808.86 | High: 1833.55 | Low: 1781.85 | Close: 1820.19 | Volume: 342341.0078
Timestamp: 2025-05-04T00:00:00 | Open: 1833.52 | High: 1849.95 | Low: 1803.0 | Close: 1808.86 | Volume: 238254.3564
Timestamp: 2025-05-03T00:00:00 | Open: 1842.2 | High: 1848.6 | Low: 1810.0 | Close: 1833.52 | Volume: 213751.5979
Timestamp: 2025-05-02T00:00:00 | Open: 1838.1 | High: 1871.0 | Low: 1813.0 | Close: 1842.2 | Volume: 410667.875
Timestamp: 2025-05-01T00:00:00 | Open: 1793.62 | High: 1873.17 | Low: 1792.52 | Close: 1838.11 | Volume: 537198.7291
Timestamp: 2025-04-30T00:00:00 | Open: 1797.81 | High: 1816.8 | Low: 1731.7 | Close: 1793.61 | Volume: 473523.9877
Timestamp: 2025-04-29T00:00:00 | Open: 1799.88 | High: 1842.99 | Low: 1780.47 | Close: 1797.81 | Volume: 480456.3884
Timestamp: 2025-04-28T00:00:00 | Open: 1791.29 | High: 1827.98 | Low: 1744.71 | Close: 1799.88 | Volume: 587269.743
Timestamp: 2025-04-27T00:00:00 | Open: 1820.87 | High: 1857.47 | Low: 1781.9 | Close: 1791.29 | Volume: 340332.6435
Timestamp: 2025-04-26T00:00:00 | Open: 1784.6 | High: 1841.16 | Low: 1778.94 | Close: 1820.88 | Volume: 355068.0442
Timestamp: 2025-04-25T00:00:00 | Open: 1769.64 | High: 1827.32 | Low: 1738.6 | Close: 1784.6 | Volume: 595610.8894
Timestamp: 2025-04-24T00:00:00 | Open: 1795.08 | High: 1802.82 | Low: 1722.9 | Close: 1769.65 | Volume: 483465.0385
Timestamp: 2025-04-23T00:00:00 | Open: 1756.25 | High: 1834.86 | Low: 1744.95 | Close: 1795.07 | Volume: 887545.6316
Timestamp: 2025-04-22T00:00:00 | Open: 1579.57 | High: 1778.0 | Low: 1537.26 | Close: 1756.26 | Volume: 1103036.9586
Timestamp: 2025-04-21T00:00:00 | Open: 1587.36 | High: 1658.75 | Low: 1564.07 | Close: 1579.57 | Volume: 691486.6667
Timestamp: 2025-04-20T00:00:00 | Open: 1613.26 | High: 1619.19 | Low: 1565.59 | Close: 1587.36 | Volume: 276052.2306
Timestamp: 2025-04-19T00:00:00 | Open: 1588.6 | High: 1631.81 | Low: 1585.01 | Close: 1613.27 | Volume: 223096.3899
Timestamp: 2025-04-18T00:00:00 | Open: 1583.63 | High: 1600.64 | Low: 1573.54 | Close: 1588.6 | Volume: 200409.0359
Timestamp: 2025-04-17T00:00:00 | Open: 1577.15 | High: 1616.96 | Low: 1563.2 | Close: 1583.62 | Volume: 449870.3628
Timestamp: 2025-04-16T00:00:00 | Open: 1588.77 | High: 1613.66 | Low: 1538.07 | Close: 1577.14 | Volume: 611387.8686
Timestamp: 2025-04-15T00:00:00 | Open: 1623.78 | High: 1661.21 | Low: 1583.12 | Close: 1588.78 | Volume: 476178.8915
Timestamp: 2025-04-14T00:00:00 | Open: 1597.76 | High: 1691.5 | Low: 1595.56 | Close: 1623.77 | Volume: 645930.1419
Timestamp: 2025-04-13T00:00:00 | Open: 1644.19 | High: 1649.75 | Low: 1562.01 | Close: 1597.76 | Volume: 580136.6145
Timestamp: 2025-04-12T00:00:00 | Open: 1566.85 | High: 1669.59 | Low: 1546.06 | Close: 1644.18 | Volume: 501867.9033
Timestamp: 2025-04-11T00:00:00 | Open: 1522.24 | High: 1591.47 | Low: 1504.63 | Close: 1566.85 | Volume: 578484.3183
Timestamp: 2025-04-10T00:00:00 | Open: 1669.51 | High: 1669.85 | Low: 1471.02 | Close: 1522.25 | Volume: 911855.3934
Timestamp: 2025-04-09T00:00:00 | Open: 1473.41 | High: 1689.0 | Low: 1385.05 | Close: 1669.51 | Volume: 1968530.9138
Timestamp: 2025-04-08T00:00:00 | Open: 1553.04 | High: 1618.67 | Low: 1441.3 | Close: 1473.41 | Volume: 891846.1327
Timestamp: 2025-04-07T00:00:00 | Open: 1580.77 | High: 1639.0 | Low: 1411.01 | Close: 1553.04 | Volume: 2168796.0067
Timestamp: 2025-04-06T00:00:00 | Open: 1806.02 | High: 1817.0 | Low: 1537.5 | Close: 1580.76 | Volume: 979847.0958
Timestamp: 2025-04-05T00:00:00 | Open: 1816.88 | High: 1827.29 | Low: 1764.39 | Close: 1806.01 | Volume: 201716.2696
Timestamp: 2025-04-04T00:00:00 | Open: 1817.23 | High: 1835.68 | Low: 1758.72 | Close: 1816.87 | Volume: 572734.4702
Timestamp: 2025-04-03T00:00:00 | Open: 1795.21 | High: 1845.26 | Low: 1750.0 | Close: 1817.23 | Volume: 508075.018
Timestamp: 2025-04-02T00:00:00 | Open: 1904.98 | High: 1957.0 | Low: 1781.53 | Close: 1795.22 | Volume: 750840.7823
Timestamp: 2025-04-01T00:00:00 | Open: 1822.43 | High: 1927.9 | Low: 1817.88 | Close: 1904.98 | Volume: 452989.0974
Timestamp: 2025-03-31T00:00:00 | Open: 1807.74 | High: 1854.22 | Low: 1776.75 | Close: 1822.43 | Volume: 497854.9052
Timestamp: 2025-03-30T00:00:00 | Open: 1828.09 | High: 1849.01 | Low: 1767.69 | Close: 1807.74 | Volume: 327843.4476
Timestamp: 2025-03-29T00:00:00 | Open: 1896.9 | High: 1913.6 | Low: 1797.2 | Close: 1828.08 | Volume: 409769.7555
Timestamp: 2025-03-28T00:00:00 | Open: 2003.67 | High: 2015.93 | Low: 1860.0 | Close: 1896.9 | Volume: 626167.5832
Timestamp: 2025-03-27T00:00:00 | Open: 2009.52 | High: 2037.38 | Low: 1987.06 | Close: 2003.66 | Volume: 360634.8383
Timestamp: 2025-03-26T00:00:00 | Open: 2066.16 | High: 2079.21 | Low: 1981.6 | Close: 2009.52 | Volume: 428975.3286
Timestamp: 2025-03-25T00:00:00 | Open: 2081.2 | High: 2097.7 | Low: 2037.08 | Close: 2066.15 | Volume: 328765.3292
Timestamp: 2025-03-24T00:00:00 | Open: 2005.99 | High: 2104.11 | Low: 1977.67 | Close: 2081.2 | Volume: 477912.8154
Timestamp: 2025-03-23T00:00:00 | Open: 1980.68 | High: 2020.74 | Low: 1976.81 | Close: 2005.99 | Volume: 268707.5233
Timestamp: 2025-03-22T00:00:00 | Open: 1965.74 | High: 2006.61 | Low: 1964.34 | Close: 1980.69 | Volume: 170782.9574
Timestamp: 2025-03-21T00:00:00 | Open: 1983.79 | High: 1996.73 | Low: 1937.1 | Close: 1965.75 | Volume: 262641.659
Timestamp: 2025-03-20T00:00:00 | Open: 2056.05 | High: 2067.9 | Low: 1952.17 | Close: 1983.79 | Volume: 401518.9282
Timestamp: 2025-03-19T00:00:00 | Open: 1931.54 | High: 2069.9 | Low: 1927.58 | Close: 2056.06 | Volume: 691809.5034
