--- OHLCV Data for ETH/USDT - Timeframe: 1h ---
Columns: Timestamp | Open | High | Low | Close | Volume
-------------------------------------------------------
Timestamp: 2025-05-15T13:00:00 | Open: 2553.0 | High: 2568.41 | Low: 2547.0 | Close: 2566.12 | Volume: 7881.5226
Timestamp: 2025-05-15T12:00:00 | Open: 2554.71 | High: 2579.61 | Low: 2543.14 | Close: 2553.0 | Volume: 34655.986
Timestamp: 2025-05-15T11:00:00 | Open: 2543.57 | High: 2565.62 | Low: 2542.75 | Close: 2554.71 | Volume: 20255.5366
Timestamp: 2025-05-15T10:00:00 | Open: 2539.31 | High: 2545.99 | Low: 2517.53 | Close: 2543.57 | Volume: 32022.5712
Timestamp: 2025-05-15T09:00:00 | Open: 2564.44 | High: 2566.64 | Low: 2522.35 | Close: 2539.3 | Volume: 30069.0643
Timestamp: 2025-05-15T08:00:00 | Open: 2530.99 | High: 2567.65 | Low: 2528.67 | Close: 2564.44 | Volume: 28176.6916
Timestamp: 2025-05-15T07:00:00 | Open: 2573.65 | High: 2577.6 | Low: 2515.69 | Close: 2531.0 | Volume: 56690.4947
Timestamp: 2025-05-15T06:00:00 | Open: 2567.71 | High: 2583.58 | Low: 2555.83 | Close: 2573.64 | Volume: 26412.0173
Timestamp: 2025-05-15T05:00:00 | Open: 2593.2 | High: 2596.49 | Low: 2563.86 | Close: 2567.71 | Volume: 19761.6676
Timestamp: 2025-05-15T04:00:00 | Open: 2574.93 | High: 2595.28 | Low: 2572.03 | Close: 2593.2 | Volume: 14958.2734
Timestamp: 2025-05-15T03:00:00 | Open: 2591.13 | High: 2594.65 | Low: 2570.85 | Close: 2574.93 | Volume: 17678.2936
Timestamp: 2025-05-15T02:00:00 | Open: 2577.63 | High: 2598.02 | Low: 2570.61 | Close: 2591.13 | Volume: 26189.0598
Timestamp: 2025-05-15T01:00:00 | Open: 2632.29 | High: 2637.0 | Low: 2566.91 | Close: 2577.62 | Volume: 48196.2545
Timestamp: 2025-05-15T00:00:00 | Open: 2609.75 | High: 2647.03 | Low: 2607.14 | Close: 2632.3 | Volume: 26263.012
Timestamp: 2025-05-14T23:00:00 | Open: 2595.98 | High: 2614.05 | Low: 2584.0 | Close: 2609.74 | Volume: 15286.1179
Timestamp: 2025-05-14T22:00:00 | Open: 2606.6 | High: 2607.83 | Low: 2587.09 | Close: 2595.97 | Volume: 8383.8094
Timestamp: 2025-05-14T21:00:00 | Open: 2600.26 | High: 2610.35 | Low: 2583.99 | Close: 2606.59 | Volume: 12121.9482
Timestamp: 2025-05-14T20:00:00 | Open: 2605.03 | High: 2610.9 | Low: 2597.63 | Close: 2600.26 | Volume: 8849.2374
Timestamp: 2025-05-14T19:00:00 | Open: 2613.49 | High: 2617.5 | Low: 2598.58 | Close: 2605.1 | Volume: 15002.9068
Timestamp: 2025-05-14T18:00:00 | Open: 2590.46 | High: 2614.33 | Low: 2579.94 | Close: 2613.49 | Volume: 23906.8833
