--- OHLCV Data for ETH/USDT - Timeframe: 1m ---
Columns: Timestamp | Open | High | Low | Close | Volume
-------------------------------------------------------
Timestamp: 2025-05-15T13:31:00 | Open: 2560.11 | High: 2568.41 | Low: 2560.1 | Close: 2567.95 | Volume: 393.6944
Timestamp: 2025-05-15T13:30:00 | Open: 2561.31 | High: 2562.84 | Low: 2558.14 | Close: 2560.09 | Volume: 554.919
Timestamp: 2025-05-15T13:29:00 | Open: 2561.5 | High: 2562.0 | Low: 2560.11 | Close: 2561.31 | Volume: 189.0066
Timestamp: 2025-05-15T13:28:00 | Open: 2563.93 | High: 2564.33 | Low: 2561.49 | Close: 2561.49 | Volume: 111.9371
Timestamp: 2025-05-15T13:27:00 | Open: 2561.73 | High: 2564.56 | Low: 2561.07 | Close: 2563.94 | Volume: 506.8791
Timestamp: 2025-05-15T13:26:00 | Open: 2560.02 | High: 2562.32 | Low: 2560.02 | Close: 2561.74 | Volume: 189.0997
Timestamp: 2025-05-15T13:25:00 | Open: 2558.0 | High: 2560.24 | Low: 2557.73 | Close: 2560.01 | Volume: 227.9706
Timestamp: 2025-05-15T13:24:00 | Open: 2560.31 | High: 2561.31 | Low: 2558.01 | Close: 2558.01 | Volume: 729.6791
Timestamp: 2025-05-15T13:23:00 | Open: 2559.29 | High: 2560.99 | Low: 2558.65 | Close: 2560.31 | Volume: 237.4678
Timestamp: 2025-05-15T13:22:00 | Open: 2559.3 | High: 2560.35 | Low: 2559.0 | Close: 2559.29 | Volume: 115.205
Timestamp: 2025-05-15T13:21:00 | Open: 2558.5 | High: 2560.31 | Low: 2557.28 | Close: 2559.3 | Volume: 114.4551
Timestamp: 2025-05-15T13:20:00 | Open: 2557.63 | High: 2559.1 | Low: 2557.28 | Close: 2558.49 | Volume: 84.5333
Timestamp: 2025-05-15T13:19:00 | Open: 2560.77 | High: 2560.77 | Low: 2557.15 | Close: 2557.63 | Volume: 237.89
Timestamp: 2025-05-15T13:18:00 | Open: 2561.7 | High: 2561.7 | Low: 2559.54 | Close: 2560.77 | Volume: 228.7272
Timestamp: 2025-05-15T13:17:00 | Open: 2564.03 | High: 2564.03 | Low: 2561.5 | Close: 2561.69 | Volume: 203.0892
Timestamp: 2025-05-15T13:16:00 | Open: 2565.33 | High: 2567.0 | Low: 2563.76 | Close: 2563.9 | Volume: 171.5067
Timestamp: 2025-05-15T13:15:00 | Open: 2564.08 | High: 2566.34 | Low: 2563.8 | Close: 2565.33 | Volume: 266.8225
Timestamp: 2025-05-15T13:14:00 | Open: 2565.65 | High: 2565.66 | Low: 2564.07 | Close: 2564.07 | Volume: 232.4418
Timestamp: 2025-05-15T13:13:00 | Open: 2564.5 | High: 2565.66 | Low: 2563.4 | Close: 2565.66 | Volume: 140.9297
Timestamp: 2025-05-15T13:12:00 | Open: 2559.73 | High: 2564.56 | Low: 2559.5 | Close: 2564.5 | Volume: 168.1441
Timestamp: 2025-05-15T13:11:00 | Open: 2559.87 | High: 2562.32 | Low: 2559.3 | Close: 2559.74 | Volume: 272.2095
Timestamp: 2025-05-15T13:10:00 | Open: 2560.98 | High: 2561.52 | Low: 2559.55 | Close: 2559.88 | Volume: 102.0564
Timestamp: 2025-05-15T13:09:00 | Open: 2561.23 | High: 2561.62 | Low: 2560.49 | Close: 2560.97 | Volume: 129.8572
Timestamp: 2025-05-15T13:08:00 | Open: 2556.65 | High: 2563.27 | Low: 2556.65 | Close: 2561.23 | Volume: 239.8841
Timestamp: 2025-05-15T13:07:00 | Open: 2558.26 | High: 2559.3 | Low: 2555.97 | Close: 2556.65 | Volume: 310.9686
Timestamp: 2025-05-15T13:06:00 | Open: 2556.5 | High: 2559.7 | Low: 2556.28 | Close: 2558.25 | Volume: 181.3864
Timestamp: 2025-05-15T13:05:00 | Open: 2555.59 | High: 2558.27 | Low: 2553.67 | Close: 2556.5 | Volume: 174.3817
Timestamp: 2025-05-15T13:04:00 | Open: 2558.28 | High: 2558.57 | Low: 2555.29 | Close: 2555.6 | Volume: 268.3849
Timestamp: 2025-05-15T13:03:00 | Open: 2554.37 | High: 2558.28 | Low: 2553.55 | Close: 2558.28 | Volume: 440.1518
Timestamp: 2025-05-15T13:02:00 | Open: 2552.05 | High: 2555.19 | Low: 2551.86 | Close: 2554.36 | Volume: 122.2467
Timestamp: 2025-05-15T13:01:00 | Open: 2547.5 | High: 2554.28 | Low: 2547.0 | Close: 2552.05 | Volume: 224.9749
Timestamp: 2025-05-15T13:00:00 | Open: 2553.0 | High: 2553.48 | Low: 2547.49 | Close: 2547.49 | Volume: 264.9677
Timestamp: 2025-05-15T12:59:00 | Open: 2553.73 | High: 2554.28 | Low: 2552.51 | Close: 2553.0 | Volume: 112.1391
Timestamp: 2025-05-15T12:58:00 | Open: 2553.27 | High: 2553.74 | Low: 2551.61 | Close: 2553.73 | Volume: 159.7605
Timestamp: 2025-05-15T12:57:00 | Open: 2549.83 | High: 2553.8 | Low: 2549.83 | Close: 2553.27 | Volume: 219.2623
