--- OHLCV Data for TON/USDT - Timeframe: 1d ---
Columns: Timestamp | Open | High | Low | Close | Volume
-------------------------------------------------------
Timestamp: 2025-05-15T00:00:00 | Open: 3.245 | High: 3.285 | Low: 3.049 | Close: 3.114 | Volume: 5758100.89
Timestamp: 2025-05-14T00:00:00 | Open: 3.396 | High: 3.467 | Low: 3.222 | Close: 3.245 | Volume: 7735492.84
Timestamp: 2025-05-13T00:00:00 | Open: 3.353 | High: 3.435 | Low: 3.195 | Close: 3.395 | Volume: 8804774.86
Timestamp: 2025-05-12T00:00:00 | Open: 3.411 | High: 3.588 | Low: 3.241 | Close: 3.353 | Volume: 12405295.19
Timestamp: 2025-05-11T00:00:00 | Open: 3.514 | High: 3.589 | Low: 3.325 | Close: 3.411 | Volume: 9395308.74
Timestamp: 2025-05-10T00:00:00 | Open: 3.284 | High: 3.524 | Low: 3.266 | Close: 3.514 | Volume: 10104527.69
Timestamp: 2025-05-09T00:00:00 | Open: 3.213 | High: 3.379 | Low: 3.173 | Close: 3.283 | Volume: 11225818.74
Timestamp: 2025-05-08T00:00:00 | Open: 3.015 | High: 3.257 | Low: 3.0 | Close: 3.213 | Volume: 11336854.42
Timestamp: 2025-05-07T00:00:00 | Open: 3.013 | High: 3.044 | Low: 2.975 | Close: 3.014 | Volume: 3586128.84
Timestamp: 2025-05-06T00:00:00 | Open: 2.963 | High: 3.038 | Low: 2.937 | Close: 3.012 | Volume: 4678877.45
Timestamp: 2025-05-05T00:00:00 | Open: 3.015 | High: 3.045 | Low: 2.942 | Close: 2.963 | Volume: 5392040.46
Timestamp: 2025-05-04T00:00:00 | Open: 3.084 | High: 3.12 | Low: 3.01 | Close: 3.015 | Volume: 3467896.96
Timestamp: 2025-05-03T00:00:00 | Open: 3.17 | High: 3.208 | Low: 3.071 | Close: 3.085 | Volume: 3715076.24
Timestamp: 2025-05-02T00:00:00 | Open: 3.214 | High: 3.265 | Low: 3.114 | Close: 3.17 | Volume: 4284223.18
Timestamp: 2025-05-01T00:00:00 | Open: 3.162 | High: 3.248 | Low: 3.125 | Close: 3.213 | Volume: 6379648.81
