--- OHLCV Data for TON/USDT - Timeframe: 1m ---
Columns: Timestamp | Open | High | Low | Close | Volume
-------------------------------------------------------
Timestamp: 2025-05-15T13:31:00 | Open: 3.106 | High: 3.114 | Low: 3.105 | Close: 3.112 | Volume: 4372.58
Timestamp: 2025-05-15T13:30:00 | Open: 3.109 | High: 3.113 | Low: 3.105 | Close: 3.105 | Volume: 17935.5
Timestamp: 2025-05-15T13:29:00 | Open: 3.104 | High: 3.108 | Low: 3.104 | Close: 3.108 | Volume: 6324.81
Timestamp: 2025-05-15T13:28:00 | Open: 3.106 | High: 3.106 | Low: 3.104 | Close: 3.104 | Volume: 1103.18
Timestamp: 2025-05-15T13:27:00 | Open: 3.104 | High: 3.105 | Low: 3.102 | Close: 3.105 | Volume: 4720.82
Timestamp: 2025-05-15T13:26:00 | Open: 3.101 | High: 3.104 | Low: 3.101 | Close: 3.104 | Volume: 856.18
Timestamp: 2025-05-15T13:25:00 | Open: 3.099 | High: 3.101 | Low: 3.099 | Close: 3.1 | Volume: 1510.57
Timestamp: 2025-05-15T13:24:00 | Open: 3.101 | High: 3.103 | Low: 3.099 | Close: 3.099 | Volume: 6788.82
Timestamp: 2025-05-15T13:23:00 | Open: 3.105 | High: 3.105 | Low: 3.102 | Close: 3.102 | Volume: 3404.05
Timestamp: 2025-05-15T13:22:00 | Open: 3.103 | High: 3.105 | Low: 3.102 | Close: 3.103 | Volume: 2306.36
Timestamp: 2025-05-15T13:21:00 | Open: 3.102 | High: 3.104 | Low: 3.101 | Close: 3.103 | Volume: 2315.42
Timestamp: 2025-05-15T13:20:00 | Open: 3.103 | High: 3.104 | Low: 3.101 | Close: 3.104 | Volume: 2045.96
Timestamp: 2025-05-15T13:19:00 | Open: 3.103 | High: 3.104 | Low: 3.101 | Close: 3.103 | Volume: 2882.39
Timestamp: 2025-05-15T13:18:00 | Open: 3.107 | High: 3.108 | Low: 3.101 | Close: 3.102 | Volume: 14242.39
Timestamp: 2025-05-15T13:17:00 | Open: 3.108 | High: 3.11 | Low: 3.107 | Close: 3.107 | Volume: 7131.32
Timestamp: 2025-05-15T13:16:00 | Open: 3.106 | High: 3.111 | Low: 3.106 | Close: 3.107 | Volume: 84461.88
Timestamp: 2025-05-15T13:15:00 | Open: 3.105 | High: 3.108 | Low: 3.103 | Close: 3.106 | Volume: 12430.93
Timestamp: 2025-05-15T13:14:00 | Open: 3.105 | High: 3.105 | Low: 3.104 | Close: 3.105 | Volume: 3679.24
Timestamp: 2025-05-15T13:13:00 | Open: 3.106 | High: 3.107 | Low: 3.102 | Close: 3.106 | Volume: 16115.73
Timestamp: 2025-05-15T13:12:00 | Open: 3.099 | High: 3.106 | Low: 3.099 | Close: 3.106 | Volume: 1915.21
Timestamp: 2025-05-15T13:11:00 | Open: 3.099 | High: 3.101 | Low: 3.098 | Close: 3.098 | Volume: 6105.4
Timestamp: 2025-05-15T13:10:00 | Open: 3.1 | High: 3.1 | Low: 3.099 | Close: 3.099 | Volume: 839.13
Timestamp: 2025-05-15T13:09:00 | Open: 3.099 | High: 3.1 | Low: 3.097 | Close: 3.1 | Volume: 2217.84
Timestamp: 2025-05-15T13:08:00 | Open: 3.095 | High: 3.1 | Low: 3.095 | Close: 3.099 | Volume: 2918.34
Timestamp: 2025-05-15T13:07:00 | Open: 3.096 | High: 3.096 | Low: 3.093 | Close: 3.094 | Volume: 2567.31
Timestamp: 2025-05-15T13:06:00 | Open: 3.093 | High: 3.097 | Low: 3.092 | Close: 3.096 | Volume: 1460.19
Timestamp: 2025-05-15T13:05:00 | Open: 3.09 | High: 3.096 | Low: 3.089 | Close: 3.093 | Volume: 7810.74
Timestamp: 2025-05-15T13:04:00 | Open: 3.096 | High: 3.097 | Low: 3.09 | Close: 3.091 | Volume: 5413.67
Timestamp: 2025-05-15T13:03:00 | Open: 3.094 | High: 3.098 | Low: 3.093 | Close: 3.097 | Volume: 7197.38
Timestamp: 2025-05-15T13:02:00 | Open: 3.089 | High: 3.097 | Low: 3.089 | Close: 3.094 | Volume: 4199.05
Timestamp: 2025-05-15T13:01:00 | Open: 3.084 | High: 3.092 | Low: 3.084 | Close: 3.089 | Volume: 5249.86
Timestamp: 2025-05-15T13:00:00 | Open: 3.09 | High: 3.091 | Low: 3.085 | Close: 3.085 | Volume: 6318.72
Timestamp: 2025-05-15T12:59:00 | Open: 3.09 | High: 3.091 | Low: 3.089 | Close: 3.09 | Volume: 542.43
Timestamp: 2025-05-15T12:58:00 | Open: 3.09 | High: 3.09 | Low: 3.088 | Close: 3.09 | Volume: 3320.76
Timestamp: 2025-05-15T12:57:00 | Open: 3.083 | High: 3.091 | Low: 3.083 | Close: 3.09 | Volume: 2317.21
Timestamp: 2025-05-15T12:56:00 | Open: 3.086 | High: 3.086 | Low: 3.081 | Close: 3.082 | Volume: 11259.15
Timestamp: 2025-05-15T12:55:00 | Open: 3.084 | High: 3.087 | Low: 3.083 | Close: 3.087 | Volume: 5377.41
Timestamp: 2025-05-15T12:54:00 | Open: 3.079 | High: 3.084 | Low: 3.079 | Close: 3.084 | Volume: 5747.03
Timestamp: 2025-05-15T12:53:00 | Open: 3.081 | High: 3.082 | Low: 3.076 | Close: 3.078 | Volume: 15003.62
Timestamp: 2025-05-15T12:52:00 | Open: 3.078 | High: 3.082 | Low: 3.075 | Close: 3.08 | Volume: 6114.57
Timestamp: 2025-05-15T12:51:00 | Open: 3.081 | High: 3.082 | Low: 3.078 | Close: 3.078 | Volume: 6866.97
Timestamp: 2025-05-15T12:50:00 | Open: 3.086 | High: 3.086 | Low: 3.079 | Close: 3.08 | Volume: 10245.01
Timestamp: 2025-05-15T12:49:00 | Open: 3.091 | High: 3.091 | Low: 3.086 | Close: 3.086 | Volume: 2679.87
Timestamp: 2025-05-15T12:48:00 | Open: 3.091 | High: 3.092 | Low: 3.088 | Close: 3.091 | Volume: 3579.03
Timestamp: 2025-05-15T12:47:00 | Open: 3.095 | High: 3.099 | Low: 3.09 | Close: 3.09 | Volume: 4934.79
Timestamp: 2025-05-15T12:46:00 | Open: 3.096 | High: 3.097 | Low: 3.092 | Close: 3.094 | Volume: 5776.45
Timestamp: 2025-05-15T12:45:00 | Open: 3.105 | High: 3.105 | Low: 3.095 | Close: 3.097 | Volume: 3674.25
Timestamp: 2025-05-15T12:44:00 | Open: 3.103 | High: 3.108 | Low: 3.102 | Close: 3.104 | Volume: 7735.45
