--- OHLCV Data for TON/USDT - Timeframe: 4h ---
Columns: Timestamp | Open | High | Low | Close | Volume
-------------------------------------------------------
Timestamp: 2025-05-15T12:00:00 | Open: 3.081 | High: 3.114 | Low: 3.059 | Close: 3.113 | Volume: 960452.37
Timestamp: 2025-05-15T08:00:00 | Open: 3.134 | High: 3.188 | Low: 3.049 | Close: 3.082 | Volume: 2388763.65
Timestamp: 2025-05-15T04:00:00 | Open: 3.228 | High: 3.257 | Low: 3.121 | Close: 3.135 | Volume: 1488887.39
Timestamp: 2025-05-15T00:00:00 | Open: 3.245 | High: 3.285 | Low: 3.21 | Close: 3.227 | Volume: 919950.67
Timestamp: 2025-05-14T20:00:00 | Open: 3.268 | High: 3.277 | Low: 3.222 | Close: 3.245 | Volume: 635397.7
Timestamp: 2025-05-14T16:00:00 | Open: 3.271 | High: 3.286 | Low: 3.226 | Close: 3.267 | Volume: 1212887.63
Timestamp: 2025-05-14T12:00:00 | Open: 3.356 | High: 3.363 | Low: 3.254 | Close: 3.271 | Volume: 1705319.48
Timestamp: 2025-05-14T08:00:00 | Open: 3.372 | High: 3.381 | Low: 3.303 | Close: 3.355 | Volume: 1762498.39
Timestamp: 2025-05-14T04:00:00 | Open: 3.435 | High: 3.439 | Low: 3.363 | Close: 3.372 | Volume: 1012475.09
Timestamp: 2025-05-14T00:00:00 | Open: 3.396 | High: 3.467 | Low: 3.361 | Close: 3.435 | Volume: 1406914.55
Timestamp: 2025-05-13T20:00:00 | Open: 3.405 | High: 3.423 | Low: 3.379 | Close: 3.395 | Volume: 1157574.58
Timestamp: 2025-05-13T16:00:00 | Open: 3.308 | High: 3.435 | Low: 3.299 | Close: 3.406 | Volume: 2130666.02
Timestamp: 2025-05-13T12:00:00 | Open: 3.283 | High: 3.319 | Low: 3.243 | Close: 3.308 | Volume: 1758055.23
Timestamp: 2025-05-13T08:00:00 | Open: 3.288 | High: 3.323 | Low: 3.271 | Close: 3.283 | Volume: 1255277.41
Timestamp: 2025-05-13T04:00:00 | Open: 3.209 | High: 3.305 | Low: 3.201 | Close: 3.287 | Volume: 943980.83
Timestamp: 2025-05-13T00:00:00 | Open: 3.353 | High: 3.356 | Low: 3.195 | Close: 3.21 | Volume: 1559220.79
